geocode,geocode_desc,total,owned_loan,owned_clear,rented
3765260,STONY POINT,516,187,163,166
3765320,STOVALL,170,57,60,53
3765530,SUGAR MOUNTAIN,94,31,33,30
3765580,SUMMERFIELD,3543,2566,667,310
3765700,SUNBURY,129,49,49,31
3765900,SUNSET BEACH,1871,975,678,218
3766040,SURF CITY,850,317,177,356
3766280,SWANNANOA,1757,730,508,519
3766340,SWAN QUARTER,151,46,63,42
3766360,SWANSBORO,1157,491,221,445
3766460,SWEPSONVILLE,469,264,107,98
3766500,SYLVA,1138,258,299,581
3766520,TABOR CITY,1095,275,328,492
3766700,TARBORO,4565,1576,913,2076
3766740,TAR HEEL,60,10,34,16
3766960,TAYLORSVILLE,874,259,185,430
3766980,TAYLORTOWN,303,139,91,73
3767000,TEACHEY,144,73,35,36
3767420,THOMASVILLE,10537,4359,1730,4448
3767700,TOAST,634,238,198,198
3767720,TOBACCOVILLE,1029,585,273,171
