geocode,geocode_desc,total,owned_loan,owned_clear,rented
3763680,SPARTA,643,43,9,0
3763720,SPEED,8,53,37,5
3763760,SPENCER,563,1041,349,25
3763780,SPENCER MOUNTAIN,26,0,0,0
3763880,SPINDALE,1214,1070,345,183
3763920,SPIVEY'S CORNER,61,105,54,15
3764160,SPRING HOPE,264,614,125,113
3764180,SPRING LAKE,4403,4327,1077,280
3764260,SPRUCE PINE,675,9,0,0
3764380,STALEY,75,34,21,5
3764420,STALLINGS,1187,775,597,59
3764460,STANFIELD,273,19,3,1
3764500,STANLEY,926,350,172,20
3764560,STANTONSBURG,115,347,175,51
3764580,STAR,180,82,3,0
3764740,STATESVILLE,4381,8268,2267,523
3764840,STEDMAN,235,116,85,9
3764940,STEM,86,41,38,0
3765020,STOKES,67,69,30,29
3765040,STOKESDALE,549,234,143,43
3765100,STONEVILLE,207,172,80,28
3765120,STONEWALL,50,59,26,21
3765260,STONY POINT,369,57,17,2
3765320,STOVALL,64,179,52,50
3765530,SUGAR MOUNTAIN,59,2,0,0
3765580,SUMMERFIELD,673,471,383,37
3765700,SUNBURY,62,44,28,14
3765900,SUNSET BEACH,434,32,15,5
3766040,SURF CITY,723,15,8,0
3766280,SWANNANOA,1104,132,47,20
3766340,SWAN QUARTER,31,89,22,22
3766360,SWANSBORO,866,94,24,0
3766460,SWEPSONVILLE,220,65,50,4
3766500,SYLVA,1037,75,13,30
3766520,TABOR CITY,497,891,181,230
3766700,TARBORO,1300,5090,1348,364
3766740,TAR HEEL,25,0,0,0
3766960,TAYLORSVILLE,732,245,78,43
3766980,TAYLORTOWN,28,467,188,157
3767000,TEACHEY,36,161,80,36
3767420,THOMASVILLE,6442,5179,1719,371
3767700,TOAST,383,46,19,5
3767720,TOBACCOVILLE,359,154,135,14
3768040,TOPSAIL BEACH,103,5,5,0
3768320,TRENTON,32,96,44,23
3768340,TRENT WOODS,470,84,41,7
3768400,TRINITY,1107,320,169,88
3768500,TROUTMAN,392,516,281,67
3768520,TROY,678,809,152,95
3768580,TRYON,454,267,110,85
3768740,TURKEY,17,77,34,21
3769020,TYRO,799,55,41,0
3769260,UNIONVILLE,799,100,45,31
